  alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -30.000  -0.6202   0.30915   0.30281   0.0662   1.0000   0.0746
 -29.750  -0.6181   0.30670   0.30032   0.0647   1.0000   0.0763
 -29.500  -0.6175   0.30490   0.29849   0.0630   1.0000   0.0772
 -29.000  -0.6107   0.29842   0.29196   0.0605   1.0000   0.0788
 -28.750  -0.6063   0.29530   0.28881   0.0595   1.0000   0.0804
 -28.500  -0.6027   0.29256   0.28604   0.0582   1.0000   0.0824
 -28.250  -0.6000   0.29004   0.28348   0.0568   1.0000   0.0845
 -28.000  -0.5991   0.28825   0.28165   0.0551   1.0000   0.0862
 -27.500  -0.5930   0.28237   0.27573   0.0525   1.0000   0.0879
 -27.250  -0.5876   0.27901   0.27234   0.0515   1.0000   0.0896
 -27.000  -0.5835   0.27624   0.26954   0.0504   1.0000   0.0916
 -26.750  -0.5803   0.27370   0.26696   0.0490   1.0000   0.0939
 -26.500  -0.5791   0.27188   0.26511   0.0474   1.0000   0.0960
 -26.000  -0.5733   0.26639   0.25958   0.0447   1.0000   0.0982
 -25.750  -0.5670   0.26294   0.25610   0.0439   1.0000   0.1004
 -25.500  -0.5626   0.26024   0.25337   0.0427   1.0000   0.1028
 -25.250  -0.5595   0.25787   0.25097   0.0414   1.0000   0.1053
 -25.000  -0.5592   0.25650   0.24957   0.0397   1.0000   0.1073
 -24.500  -0.5512   0.25039   0.24343   0.0373   1.0000   0.1099
 -24.250  -0.5446   0.24716   0.24017   0.0365   1.0000   0.1126
 -24.000  -0.5404   0.24467   0.23765   0.0353   1.0000   0.1157
 -23.750  -0.5391   0.24299   0.23593   0.0338   1.0000   0.1186
 -23.500  -0.5436   0.24364   0.23656   0.0317   1.0000   0.1199
 -23.250  -0.5360   0.23882   0.23174   0.0308   1.0000   0.1211
 -23.000  -0.5264   0.23449   0.22738   0.0303   1.0000   0.1237
 -22.750  -0.5209   0.23182   0.22468   0.0294   1.0000   0.1271
 -22.500  -0.5189   0.23003   0.22286   0.0280   1.0000   0.1308
 -22.250  -0.5252   0.23120   0.22401   0.0259   1.0000   0.1328
 -22.000  -0.5166   0.22621   0.21902   0.0251   1.0000   0.1343
 -21.750  -0.5065   0.22199   0.21476   0.0246   1.0000   0.1371
 -21.500  -0.5009   0.21938   0.21212   0.0236   1.0000   0.1405
 -21.250  -0.4995   0.21782   0.21054   0.0223   1.0000   0.1446
 -21.000  -0.5094   0.22007   0.21278   0.0201   1.0000   0.1467
 -20.750  -0.4942   0.21311   0.20580   0.0198   1.0000   0.1490
 -20.500  -0.4851   0.20966   0.20232   0.0193   1.0000   0.1527
 -20.250  -0.4813   0.20754   0.20018   0.0182   1.0000   0.1570
 -20.000  -0.7505   0.24139   0.23302   0.0535   1.0000   0.1530
 -19.750  -0.7433   0.23911   0.23073   0.0514   1.0000   0.1579
 -19.500  -0.7496   0.24165   0.23331   0.0472   1.0000   0.1610
 -19.250  -0.7347   0.23482   0.22647   0.0464   1.0000   0.1628
 -19.000  -0.7184   0.22959   0.22120   0.0461   1.0000   0.1666
 -18.750  -0.7100   0.22694   0.21854   0.0445   1.0000   0.1720
 -18.500  -0.7186   0.22938   0.22103   0.0404   1.0000   0.1760
 -18.250  -0.7003   0.22190   0.21353   0.0401   1.0000   0.1786
 -18.000  -0.6854   0.21749   0.20909   0.0395   1.0000   0.1831
 -17.750  -0.6795   0.21524   0.20683   0.0376   1.0000   0.1886
 -17.500  -0.6958   0.21898   0.21064   0.0335   1.0000   0.1919
 -17.250  -0.6649   0.20873   0.20032   0.0344   1.0000   0.1959
 -17.000  -0.6539   0.20548   0.19706   0.0334   1.0000   0.2022
 -16.750  -0.6644   0.20688   0.19851   0.0301   1.0000   0.2075
 -16.500  -0.6476   0.20043   0.19205   0.0294   1.0000   0.2102
 -16.250  -0.6308   0.19595   0.18752   0.0292   1.0000   0.2161
 -16.000  -0.6360   0.19572   0.18732   0.0267   1.0000   0.2232
 -15.750  -0.6260   0.19105   0.18265   0.0255   1.0000   0.2266
 -15.500  -0.6086   0.18655   0.17812   0.0253   1.0000   0.2327
 -15.250  -0.6151   0.18606   0.17766   0.0231   1.0000   0.2399
 -15.000  -0.6039   0.18122   0.17282   0.0221   1.0000   0.2436
 -14.750  -0.5876   0.17718   0.16875   0.0219   1.0000   0.2515
 -14.500  -0.6101   0.17879   0.17043   0.0193   1.0000   0.2577
 -14.000  -0.5719   0.16819   0.15976   0.0186   1.0000   0.2717
 -13.750  -0.5788   0.16602   0.15763   0.0170   1.0000   0.2766
 -13.500  -0.5546   0.16094   0.15250   0.0171   1.0000   0.2847
 -13.250  -0.5786   0.16152   0.15314   0.0154   1.0000   0.2921
 -13.000  -0.5445   0.15438   0.14594   0.0155   1.0000   0.2987
 -12.750  -0.5542   0.15323   0.14481   0.0146   1.0000   0.3087
 -12.500  -0.5385   0.14811   0.13968   0.0140   1.0000   0.3138
 -12.250  -0.5317   0.14520   0.13675   0.0137   1.0000   0.3243
 -12.000  -0.5341   0.14192   0.13349   0.0129   1.0000   0.3302
 -11.750  -0.5181   0.13818   0.12973   0.0128   1.0000   0.3407
 -11.500  -0.5409   0.13647   0.12809   0.0118   1.0000   0.3461
 -11.250  -0.5066   0.13124   0.12276   0.0120   1.0000   0.3573
 -11.000  -0.5383   0.13009   0.12170   0.0112   1.0000   0.3632
 -10.750  -0.4975   0.12410   0.11562   0.0111   1.0000   0.3719
 -10.500  -0.5134   0.12180   0.11335   0.0107   1.0000   0.3801
 -10.250  -0.5213   0.11792   0.10949   0.0096   1.0000   0.3807
 -10.000  -0.8989   0.05826   0.04961  -0.0240   1.0000   0.2026
  -9.750  -0.9236   0.05382   0.04480  -0.0205   1.0000   0.2051
  -9.500  -0.9363   0.05013   0.04075  -0.0171   1.0000   0.2093
  -9.250  -0.9138   0.04871   0.03945  -0.0162   1.0000   0.2183
  -9.000  -0.9265   0.04538   0.03556  -0.0121   1.0000   0.2241
  -8.750  -0.9017   0.04413   0.03455  -0.0113   1.0000   0.2349
  -8.500  -0.8971   0.04177   0.03196  -0.0086   1.0000   0.2441
  -8.250  -0.8860   0.04013   0.03019  -0.0062   1.0000   0.2559
  -8.000  -0.8681   0.03879   0.02893  -0.0045   1.0000   0.2687
  -7.750  -0.8543   0.03733   0.02745  -0.0024   1.0000   0.2826
  -7.500  -0.8407   0.03595   0.02603  -0.0001   1.0000   0.2978
  -7.250  -0.8260   0.03473   0.02480   0.0021   1.0000   0.3146
  -7.000  -0.8099   0.03369   0.02380   0.0043   1.0000   0.3329
  -6.750  -0.7933   0.03277   0.02294   0.0064   1.0000   0.3525
  -6.500  -0.7768   0.03192   0.02216   0.0087   1.0000   0.3734
  -6.250  -0.7617   0.03106   0.02132   0.0111   1.0000   0.3957
  -6.000  -0.7469   0.03023   0.02049   0.0135   1.0000   0.4188
  -5.750  -0.7267   0.02979   0.02024   0.0156   1.0000   0.4419
  -5.500  -0.7093   0.02927   0.01981   0.0180   1.0000   0.4663
  -5.250  -0.6950   0.02859   0.01911   0.0205   1.0000   0.4918
  -5.000  -0.6742   0.02836   0.01906   0.0228   1.0000   0.5157
  -4.750  -0.6565   0.02802   0.01880   0.0253   1.0000   0.5411
  -4.500  -0.6407   0.02757   0.01837   0.0278   1.0000   0.5670
  -4.250  -0.6202   0.02750   0.01842   0.0303   1.0000   0.5913
  -4.000  -0.6028   0.02728   0.01826   0.0328   1.0000   0.6170
  -3.750  -0.5861   0.02704   0.01806   0.0354   1.0000   0.6427
  -3.500  -0.5659   0.02713   0.01822   0.0380   1.0000   0.6668
  -3.250  -0.5484   0.02707   0.01819   0.0407   1.0000   0.6926
  -3.000  -0.5311   0.02703   0.01818   0.0433   1.0000   0.7182
  -2.750  -0.5090   0.02731   0.01850   0.0456   1.0000   0.7425
  -2.500  -0.4900   0.02742   0.01861   0.0479   1.0000   0.7690
  -2.250  -0.4671   0.02769   0.01889   0.0497   1.0000   0.7947
  -2.000  -0.4361   0.02820   0.01939   0.0502   1.0000   0.8200
  -1.750  -0.4100   0.02845   0.01960   0.0508   1.0000   0.8482
  -1.500  -0.3544   0.02929   0.02038   0.0466   1.0000   0.8724
  -1.250  -0.2963   0.02991   0.02093   0.0411   1.0000   0.8984
  -1.000  -0.2231   0.03043   0.02137   0.0321   1.0000   0.9229
  -0.750  -0.1469   0.03074   0.02162   0.0219   1.0000   0.9469
  -0.500  -0.0745   0.03081   0.02166   0.0115   1.0000   0.9719
  -0.250   0.0065   0.03069   0.02153  -0.0012   1.0000   0.9964   
   0.000   0.0000   0.03070   0.02151   0.0000   1.0000   1.0000
   0.250  -0.0149   0.03071   0.02151   0.0026   0.9982   1.0000
   0.500   0.0669   0.03087   0.02168  -0.0103   0.9735   1.0000
   0.750   0.1408   0.03084   0.02168  -0.0210   0.9489   1.0000
   1.000   0.2136   0.03060   0.02149  -0.0307   0.9240   1.0000
   1.250   0.2941   0.03005   0.02102  -0.0409   0.9006   1.0000
   1.500   0.3480   0.02953   0.02057  -0.0459   0.8737   1.0000
   1.750   0.4042   0.02872   0.01984  -0.0502   0.8492   1.0000
   2.000   0.4338   0.02840   0.01955  -0.0502   0.8216   1.0000
   2.250   0.4642   0.02793   0.01910  -0.0496   0.7958   1.0000
   2.500   0.4908   0.02752   0.01868  -0.0482   0.7711   1.0000
   2.750   0.5077   0.02752   0.01868  -0.0457   0.7439   1.0000
   3.000   0.5296   0.02725   0.01839  -0.0434   0.7192   1.0000
   3.250   0.5487   0.02718   0.01828  -0.0408   0.6944   1.0000
   3.500   0.5650   0.02732   0.01840  -0.0382   0.6682   1.0000
   3.750   0.5849   0.02726   0.01827  -0.0356   0.6437   1.0000
   4.000   0.6030   0.02740   0.01835  -0.0330   0.6187   1.0000
   4.250   0.6194   0.02769   0.01860  -0.0304   0.5926   1.0000
   4.500   0.6394   0.02778   0.01858  -0.0279   0.5681   1.0000
   4.750   0.6564   0.02816   0.01890  -0.0254   0.5428   1.0000
   5.000   0.6733   0.02856   0.01925  -0.0228   0.5171   1.0000
   5.250   0.6936   0.02880   0.01934  -0.0205   0.4928   1.0000
   5.500   0.7092   0.02942   0.01993  -0.0180   0.4678   1.0000
   5.750   0.7258   0.02998   0.02044  -0.0156   0.4432   1.0000
   6.000   0.7454   0.03045   0.02074  -0.0134   0.4199   1.0000
   6.250   0.7622   0.03118   0.02140  -0.0112   0.3971   1.0000
   6.500   0.7765   0.03209   0.02231  -0.0087   0.3748   1.0000
   6.750   0.7924   0.03297   0.02316  -0.0064   0.3538   1.0000
   7.000   0.8087   0.03393   0.02405  -0.0042   0.3342   1.0000
   7.250   0.8246   0.03498   0.02508  -0.0020   0.3159   1.0000
   7.500   0.8393   0.03621   0.02631   0.0002   0.2991   1.0000
   7.750   0.8534   0.03757   0.02769   0.0024   0.2838   1.0000
   8.000   0.8680   0.03899   0.02911   0.0045   0.2699   1.0000
   8.250   0.8873   0.04026   0.03026   0.0061   0.2568   1.0000
   8.500   0.8937   0.04218   0.03243   0.0089   0.2455   1.0000
   8.750   0.9015   0.04435   0.03475   0.0113   0.2360   1.0000
   9.000   0.9225   0.04569   0.03597   0.0125   0.2254   1.0000
   9.500   0.9196   0.05132   0.04217   0.0183   0.2120   1.0000
   9.750   0.9258   0.05396   0.04489   0.0203   0.2059   1.0000
  10.000   0.8997   0.05850   0.04982   0.0239   0.2036   1.0000
  10.250   0.8646   0.06382   0.05540   0.0268   0.2029   1.0000
  10.500   0.8135   0.07042   0.06213   0.0290   0.2047   1.0000
  10.750   0.7626   0.07938   0.07115   0.0270   0.2069   1.0000
  11.000   0.6480   0.10398   0.09564   0.0113   0.2248   1.0000
  11.250   0.5077   0.13126   0.12279  -0.0122   0.3570   1.0000
  11.500   0.5437   0.13669   0.12831  -0.0120   0.3460   1.0000
  11.750   0.5191   0.13821   0.12975  -0.0130   0.3405   1.0000
  12.000   0.5366   0.14208   0.13366  -0.0131   0.3300   1.0000
  12.250   0.5411   0.14628   0.13782  -0.0139   0.3260   1.0000
  12.500   0.5352   0.14803   0.13955  -0.0145   0.3156   1.0000
  12.750   0.5648   0.15450   0.14607  -0.0147   0.3095   1.0000
